evento_id,estudiante_id,sesion_num,tipo_asistencia,timestamp,literal
d10fa1d8-feee-4bd9-baab-536b4936fb82,1,1,GRABACIÓN,2024-02-05T17:00:28.698177,
d61366ed-e4b5-48eb-85e9-2d59c5fa35d3,2,1,GRABACIÓN,2024-02-04T18:34:57.710390,
5292676e-e680-459d-a7d9-221e6ad17932,3,1,EN VIVO,2024-02-05T01:24:15.726142,
f9676079-18d3-4981-b30d-306da031339b,4,1,GRABACIÓN,2024-02-05T21:53:42.472243,
7dbca901-3f07-44f0-866f-11c2126b7bf2,5,1,EN VIVO,2024-02-06T02:38:30.008461,
f75f9ee9-f9bb-405b-b941-376c4dba7272,6,1,SIN ASISTENCIA,2024-02-06T14:26:11.491258,
298e8262-c145-4d97-8ba5-3dc78489c98b,7,1,GRABACIÓN,2024-02-06T13:08:45.726818,
d5ef2242-533a-464b-8d34-6842851b0c0f,8,1,EN VIVO,2024-02-06T19:00:42.437013,
5578e300-3f8f-407e-b252-7ceae9391da8,9,1,EN VIVO,2024-02-04T12:21:31.875358,
dcd3a842-7cf7-4bf0-b3ca-909202ab0245,10,1,EN VIVO,2024-02-04T07:37:58.503711,
bb2c61f2-e6f3-4744-b702-53a8ed101c02,11,1,SIN ASISTENCIA,2024-02-05T09:37:43.805480,
614ef0af-d3f7-4456-88fc-9bb38543d172,12,1,SIN ASISTENCIA,2024-02-07T02:15:10.090132,
77dd0f10-cf96-43ca-8bf4-b834d2053ca7,13,1,GRABACIÓN,2024-02-06T11:14:20.288646,
555fd6b5-c11c-4ae6-aa93-c71f1ded69ca,14,1,EN VIVO,2024-02-05T22:48:55.564674,
d1ba0072-18f1-4a2a-90a3-a618be48059a,15,1,EN VIVO,2024-02-03T23:40:17.323622,
f7f5f854-33c9-4c7d-920c-6cf394c2bc79,16,1,EN VIVO,2024-02-05T02:09:19.198120,
5524d116-835a-4f73-b8bf-5d9033fc9eb0,17,1,GRABACIÓN,2024-02-06T12:46:45.715731,
11ae05c7-11b6-433d-b2c2-e3dd15438dc7,18,1,SIN ASISTENCIA,2024-02-07T07:02:36.384680,
1b2f0e90-db51-45cc-a03b-6ff63394d3bd,19,1,EN VIVO,2024-02-05T03:00:51.849433,
73174961-2602-4383-b7f7-3ca093c691cf,20,1,EN VIVO,2024-02-04T00:59:08.917097,
a03bc0cb-3e6c-44ea-b07f-f009801b6d05,21,1,GRABACIÓN,2024-02-04T00:47:50.429178,
8ecc9a72-433c-49f7-b236-5eea6f4eeea4,22,1,GRABACIÓN,2024-02-05T01:54:29.432288,
2f922c5f-ad54-4e2f-9596-c722274fdff8,23,1,EN VIVO,2024-02-07T11:05:27.288957,
f455f0c2-bca4-48a4-93db-028cc6455574,24,1,GRABACIÓN,2024-02-04T04:15:39.260199,
c56d02fe-df6e-45ef-ac30-9fd9ab6ed0dd,25,1,EN VIVO,2024-02-06T08:45:00.092987,
11686bc9-7ee0-42de-b892-4eb7b17feb4b,26,1,GRABACIÓN,2024-02-07T06:15:42.432153,
3cf7776f-c417-4ce4-80cc-143840f13914,27,1,SIN ASISTENCIA,2024-02-05T03:22:08.092617,
b149b132-4e6e-45db-9322-1adbe1d4d685,28,1,GRABACIÓN,2024-02-06T22:13:50.234309,
ad8e274c-8118-4c8c-bd57-781536f77d7e,29,1,EN VIVO,2024-02-04T23:36:38.047878,
f03af3c8-d086-42da-bb82-71f6a5ec4c61,30,1,GRABACIÓN,2024-02-06T02:59:18.290586,
613c087c-dc9b-40a0-aac5-3e4c3e3991e2,31,1,SIN ASISTENCIA,2024-02-04T15:46:37.579318,
5225a8eb-2914-48c7-aa42-ae7dcf63e363,32,1,EN VIVO,2024-02-06T23:44:55.858111,
930c0e1a-7bef-44fd-9e8a-98bab878d3cb,33,1,GRABACIÓN,2024-02-04T21:33:18.623459,
a6f3fc4e-f52d-4255-800f-aa610333e505,34,1,EN VIVO,2024-02-07T01:43:04.154012,
e88f7130-b585-476a-9620-c56d92ef17bb,35,1,GRABACIÓN,2024-02-05T12:27:08.860386,
94bf09d7-bda9-4fe2-8cbe-4a2f3327cf10,36,1,EN VIVO,2024-02-04T10:25:26.318558,
58332051-fe04-4e95-aca9-d2bf4854a1a7,37,1,EN VIVO,2024-02-06T10:35:40.378948,
8c9f877e-231a-4fd4-9b99-7d71969d148e,38,1,EN VIVO,2024-02-03T23:41:32.780230,
a5607403-b834-4e50-b132-00b62b3590e9,39,1,GRABACIÓN,2024-02-07T09:54:07.543481,
35566785-23e1-47ac-a4cf-69c0c7351819,40,1,EN VIVO,2024-02-03T13:33:46.993652,
28f3e801-96e0-4dc2-abbd-4f48280eca0f,41,1,EN VIVO,2024-02-06T23:19:03.169576,
37dc5474-a2bb-4bba-a397-9efa30e13f40,42,1,EN VIVO,2024-02-03T19:34:42.767149,
