evento_id,estudiante_id,sesion_num,tipo_asistencia,timestamp,literal
a7417f9d-5506-4e2b-95e7-805bbf8cc38d,1,1,EN VIVO,2024-02-06T16:44:08.070832,
b6bfef65-5972-481c-8fd3-a460d3d1336a,1,2,EN VIVO,2024-02-11T08:54:04.972846,
8d27e1c8-1d1b-4cb9-bf96-a76da90f47c5,1,3,SIN ASISTENCIA,2024-02-22T13:51:32.739720,
46dbbf7d-6d83-462c-8c18-b212fbc4e5fa,1,4,SIN ASISTENCIA,2024-02-29T06:24:23.839133,
476cb002-1f8c-47b9-ba82-e5bb24f67af8,1,5,SIN ASISTENCIA,2024-03-07T20:23:11.075421,
3ae88cf0-a49f-49fb-abc0-e824862b4d42,1,6,SIN ASISTENCIA,2024-03-14T07:54:17.569368,
bc1e243e-34bd-46d6-b9dc-fc218600259b,1,7,SIN ASISTENCIA,2024-03-24T02:24:58.382814,
28141105-0758-497a-9bcb-ff62ebdff7fe,1,8,SIN ASISTENCIA,2024-03-30T13:21:55.272942,
abeed826-6404-4842-a386-c8157fdf61f3,2,1,EN VIVO,2024-02-06T07:38:39.881442,
403520c3-cc02-4bd7-87f8-866686845ef8,2,2,EN VIVO,2024-02-14T07:53:15.615010,
ce5ffbc8-863e-4cc4-8d7d-345266a11b6e,2,3,EN VIVO,2024-02-22T10:02:23.865320,
4a590dc6-482a-4e53-bef7-1b690a0d42b4,2,4,SIN ASISTENCIA,2024-02-28T23:41:09.475986,
c67b24b9-c0a0-420f-905c-170c587bd9f6,2,5,SIN ASISTENCIA,2024-03-06T06:41:38.723977,
5f44c4f0-2127-4c95-911c-bed9faada2c5,2,6,SIN ASISTENCIA,2024-03-16T13:17:46.054551,
690da820-59d3-4143-bcc1-8be68836a451,2,7,SIN ASISTENCIA,2024-03-23T03:58:31.598386,
a3894121-5580-431f-b9da-a63f0dfa1588,2,8,SIN ASISTENCIA,2024-03-30T03:50:00.550040,
1274a113-3767-40c4-afe8-197d8c82f004,3,1,EN VIVO,2024-02-03T20:09:16.567092,
ca48fd91-28c5-48be-b61a-0b6823d82f37,3,2,EN VIVO,2024-02-13T14:15:51.619492,
ee8369c6-9c47-4dde-9978-030cb61b04f4,3,3,EN VIVO,2024-02-22T00:41:39.734206,
3671a12c-1b8d-447b-b6be-ea1d183bf218,3,4,GRABACIÓN,2024-02-27T18:14:53.831600,
80fcc9fb-d52f-4320-b3f6-7075167ec871,3,5,SIN ASISTENCIA,2024-03-06T07:42:14.600040,
fed52801-41be-4b0a-b425-b6a6e85cb118,3,6,GRABACIÓN,2024-03-17T15:08:16.307832,
111924cd-a80f-40e8-9ef4-7e756df176d5,3,7,EN VIVO,2024-03-23T20:24:35.722283,
