evento_id,estudiante_id,trabajo_num,entregado,timestamp
b6bdcad6-d1b8-4782-98bd-d0d7c2cbacd4,1,1,true,2024-02-11T17:06:53.352092
345ab3c0-a38a-4345-9a3c-9e508f0d4b3b,1,2,false,2024-02-29T07:59:18.025390
37904106-01d3-40d2-bdf1-4617d2291303,1,3,false,2024-03-15T19:28:07.707933
b01fdcea-d60b-4146-b782-393e5ed2b10b,1,4,false,2024-03-31T21:08:13.343583
a5c4835a-9936-48b8-b1fa-f723d78fc34c,2,1,true,2024-02-12T21:46:32.364692
acf92100-9097-4dda-8a15-dadb49dae25a,2,2,true,2024-03-01T20:40:31.798454
befdda97-68f6-4e9d-bbb1-cc6c314910cc,2,3,false,2024-03-17T01:59:49.968908
899ff316-b8be-45fe-9aac-0f24fcc1ea7d,2,4,true,2024-03-31T01:27:31.390048
dafaed31-4f3f-4269-a69a-0a8c13f63505,3,1,true,2024-02-13T01:21:24.229767
3ddcdd26-9a40-40ae-8ca7-819e2c62fb2b,3,2,false,2024-02-27T16:29:41.003371
b3a48f47-0eac-434d-b6cc-94daa173d7ff,3,3,false,2024-03-14T17:22:22.098845
25276873-d9dc-4f2d-8fd9-c1366dd8f4b6,3,4,false,2024-03-31T11:42:35.323391
4e1e25fa-2dab-4905-bf4a-262322014877,4,1,true,2024-02-12T21:50:49.286859
3ff107fa-0ce9-4cac-b629-a7a78235382c,4,2,false,2024-02-28T22:51:39.271092
c3deba68-f89c-4ac6-83d0-c1179fc92976,4,3,false,2024-03-17T02:14:49.774684
bf617f1a-9028-4ee3-82cc-c4633e00d365,4,4,true,2024-03-31T22:34:32.969743
69dc26e3-2df5-4c7d-85ad-2ee23c4d65da,5,1,true,2024-02-12T13:58:12.621782
ecc4cf72-d3ed-40c4-8940-a02ac1e0d0ad,5,2,true,2024-02-28T15:38:07.331823
3b6d641a-001d-4f4d-832d-407a44119ba0,5,3,true,2024-03-14T04:31:30.123595
747b6681-8fec-406d-9cb7-978b9ffce4d8,5,4,true,2024-04-01T20:46:05.940891
31660d92-6a31-4552-b8b8-98d2ab11ab21,6,1,true,2024-02-15T00:26:24.706117
9984d156-8e09-4b10-8dc2-60545dd0b45d,6,2,false,2024-02-28T16:41:55.969381
c630c9a9-fcf0-4cf7-ae9d-891def25ecc4,6,3,false,2024-03-14T23:25:50.943853
329accd7-4dac-45d5-a463-89b758422b75,6,4,true,2024-03-30T17:42:24.551783
6d10b30c-7b70-40bc-8eb7-a7b6286bc446,7,1,true,2024-02-13T00:41:51.109761
6d5a53ab-b7b4-4e47-ba0a-f83024bf643e,7,2,true,2024-02-28T06:35:47.081798
db66cd07-c942-462a-93d9-e2c1f94c3a2f,7,3,true,2024-03-15T00:48:14.967053
3f331349-eb8f-41ce-b164-924e1c7f8e92,7,4,false,2024-04-02T02:38:05.086090
1cbe4fb8-7206-42f3-8a05-a74ee47b304e,8,1,true,2024-02-13T19:47:34.595644
2a0a6199-363c-4fbc-98b7-e4f99bd304a2,8,2,true,2024-03-01T14:42:02.480855
dd0a2f17-065c-4740-8708-cc3d966c7808,8,3,true,2024-03-17T21:26:11.521445
78cd5502-b629-4968-9ce8-1f5a20d36519,8,4,false,2024-04-01T05:27:42.800457
d0c42292-176d-4bb6-8ae5-5ab140c4013a,9,1,true,2024-02-11T14:14:33.881171
33307b39-0186-4938-a342-38268de1900a,9,2,true,2024-03-02T00:31:38.875767
61944ff5-c34d-4341-908f-2d91e04210fd,9,3,true,2024-03-16T06:38:44.211342
36c028bd-9854-48f5-bbe3-46b0183f6327,9,4,false,2024-04-01T08:11:00.342100
ed7da511-15f3-492d-9a77-82bfc8942892,10,1,true,2024-02-14T16:17:46.580066
14f112a7-44f6-4d21-a318-336e1d43b12e,10,2,false,2024-02-27T08:17:43.683133
95bb1f0d-76a1-447e-8520-ed2de80d6ea5,10,3,true,2024-03-16T15:59:04.536337
c8427e92-3f0e-44a7-ae9c-708f6a08eeb2,10,4,false,2024-03-31T14:14:26.696358
af1b7500-6362-4138-8d4d-d04de011fcbc,11,1,true,2024-02-11T12:57:02.117715
f60b4923-ac0e-42db-b82a-c53fbd1e5f4b,11,2,true,2024-02-29T20:18:43.571359
d02e0dec-197d-47ab-9e1f-23c48c5f8d4e,11,3,true,2024-03-17T01:40:35.525234
90eb1bd8-4cbd-4907-a24f-4c9a7d0f0f3a,11,4,false,2024-03-30T05:55:44.998350
73324f2e-df21-406b-830e-f15721d8cfdc,12,1,true,2024-02-11T13:22:53.166608
9936d39a-18fb-434e-a209-616bacf6c900,12,2,true,2024-02-29T14:46:41.573961
00410af3-24a4-48ca-8b54-62d09ae09dec,12,3,false,2024-03-14T07:31:47.281262
fd489a87-58ad-45c4-9e4e-1621a75b8851,12,4,false,2024-04-02T12:07:27.204698
3736dfbb-3821-4067-ab05-cf13d0aa2670,13,1,true,2024-02-14T11:09:09.088672
1fcce8d1-58ea-469e-b5f7-5e0cbc00f8b9,13,2,true,2024-02-28T20:57:31.506350
3ae04ba5-3fda-498a-ac47-8c76ccadc7f8,13,3,false,2024-03-16T20:10:43.012126
6ee10c8f-40a0-4ce8-a3b4-1a265d6b1942,13,4,true,2024-04-02T08:47:01.681075
865362e1-b106-4aba-b258-0157e9af743c,14,1,true,2024-02-14T15:32:53.363614
8b326326-a5a2-49e0-95ae-3d58ee9c05c0,14,2,false,2024-02-29T18:40:30.308706
3d1e785d-f628-431a-93dd-168387555e6e,14,3,true,2024-03-14T10:48:10.980234
54f4c1ae-e4ee-4d92-adc3-f66a5587f613,14,4,false,2024-03-30T00:23:09.355677
1b2c06bb-a592-4500-a7a3-45b5d7f22d2e,15,1,false,2024-02-12T01:05:01.785748
eebef200-901d-40d5-85b1-cdf64e8b743b,15,2,true,2024-02-29T16:49:52.037551
49fbeb08-20ba-47cb-b277-28282fd54951,15,3,true,2024-03-14T17:02:25.990429
db4946eb-98a5-486c-8007-8395279faf7d,15,4,false,2024-03-30T09:16:00.117447
62c28d0b-3bab-447a-8972-e340a1448d22,16,1,false,2024-02-11T16:04:32.299569
5ad8c197-939a-4e7c-9453-2e2d0f015a40,16,2,true,2024-03-01T22:04:00.406507
c9c6d464-4ce5-43a1-ae83-eebf7d65eb4c,16,3,true,2024-03-15T11:07:45.028848
19ec7902-a0a2-4c46-975c-ef55214a90c4,16,4,true,2024-04-01T23:39:14.232953
4a60f7c9-7008-4138-96c8-cda55083235a,17,1,false,2024-02-11T13:01:25.459165
b2ccc0a2-23eb-4c32-bcbe-62b855e647c7,17,2,true,2024-02-27T21:00:43.240087
195943db-a256-4674-bdbe-8fc3679f53fb,17,3,true,2024-03-15T15:45:26.514163
16b9376f-364b-453f-9a9c-4cf41d3d600b,17,4,true,2024-03-31T20:34:44.962021
97f9caff-ade7-4468-a365-0b9d23ed5d3a,18,1,false,2024-02-14T02:23:39.854680
a7854a5d-bcbc-461a-a246-f380ff9f7941,18,2,false,2024-02-27T11:52:08.000165
574b3850-ca11-4e87-80dc-d0eb99e6ce4e,18,3,true,2024-03-15T08:37:40.292448
91f14f72-e8ad-4012-94e3-983b93b5ca78,18,4,false,2024-04-01T02:23:47.576134
79a713ae-bff7-4f93-a6c5-0ed833286a23,19,1,true,2024-02-12T02:29:14.559007
6e04b53c-afb5-48e8-af4e-ab1a1c7c21a9,19,2,true,2024-03-02T02:59:04.557230
7875ddb0-9311-4b41-bc75-5e8ac994d942,19,3,false,2024-03-14T02:46:14.235881
6bec175e-e785-4f9b-a972-6724d776bc58,19,4,false,2024-03-30T10:45:53.364928
308c8284-7c2b-4de8-a9f0-e306a0c13b46,20,1,true,2024-02-13T13:32:14.904403
dfa6ad8d-063c-4dac-bbe7-81c6a9e4d1cb,20,2,false,2024-03-01T00:09:15.827215
1a01f8ff-2d1a-44f4-aa4c-6de99ef90a65,20,3,true,2024-03-16T16:49:16.472267
2cb68843-dfd6-4539-8357-e0b4062ad3c8,20,4,false,2024-04-03T00:23:25.828127
f3044bca-8661-4539-bf2c-9fc3de429be8,21,1,false,2024-02-12T13:33:56.422671
b2dabd74-d229-420f-8b18-064eb0394035,21,2,false,2024-02-28T20:41:26.463871
0169e548-7719-4f3d-af12-30ecfe1fc202,21,3,false,2024-03-15T15:36:17.659669
68da44d5-0f11-420f-ae0c-4228cecdbb08,21,4,true,2024-03-31T12:50:35.495366
d8ae6312-3ca1-4f0d-929a-b1d5d02c4169,22,1,true,2024-02-13T04:54:31.109860
623d8aaf-d427-48f2-8bb1-defcd560d8cb,22,2,false,2024-02-27T10:20:40.513195
7b5ca23e-0f88-47bc-9cd0-4c6e0c4a98de,22,3,false,2024-03-14T09:34:15.150839
866ed0d0-6243-45b4-944a-d855ee23d0ed,22,4,false,2024-03-30T11:15:17.449277
6dbb1dcd-fe01-4f67-b6d3-daf0e597d13b,23,1,true,2024-02-11T19:57:41.231775
29f83d6a-de36-4dfd-9d44-1cca0ca10ff3,23,2,true,2024-02-29T23:39:51.815072
44b516ec-77e2-45fd-95ac-f77953a88f15,23,3,true,2024-03-17T19:45:45.397566
f26fcab4-c8a0-4fda-ad0c-b3db795e7112,23,4,true,2024-03-29T22:02:43.909544
43beefa9-f5ba-452f-944f-a63c40a841a6,24,1,true,2024-02-13T10:45:27.138739
24495439-a045-4ec0-bbaa-3661f248b73a,24,2,true,2024-02-28T00:09:18.106743
c4e8b858-0b9e-449e-9b09-1c0ce286b9fc,24,3,false,2024-03-15T05:03:18.671776
215f09f7-7e23-46a7-a0ee-f1e95008ef9d,24,4,false,2024-04-01T23:26:54.967312
e7713d75-7f0c-46ca-9df7-798164f51640,25,1,true,2024-02-12T23:31:42.656747
a5aa8944-4522-4c41-aac6-fe53ae363a8c,25,2,true,2024-02-28T10:04:42.726444
0891ccf2-267c-4608-adc6-a8961687f622,25,3,true,2024-03-16T01:09:42.762429
9d5ade9b-76c0-42eb-a1eb-abee362dba48,25,4,false,2024-04-01T04:13:51.748726
44d7ed35-ee4e-429c-95f6-4f11c0daac00,26,1,true,2024-02-14T18:21:26.772506
931e6e37-5775-488b-a30d-793afe256276,26,2,false,2024-03-01T19:47:40.571733
ac9a54ee-9bc0-4e47-8f76-b8780f5a6279,26,3,false,2024-03-14T06:57:09.358661
58bed4d3-2b90-4282-af8a-3294599ddd9b,26,4,false,2024-04-01T19:04:49.416811
b5e651e5-cdf7-4826-b687-17f4ecd02d30,27,1,true,2024-02-14T11:09:44.302056
28f218d0-ef25-4601-a354-94a3afec92ea,27,2,false,2024-02-27T12:36:30.938747
7b5a87c8-02bf-4089-8ee4-90104334114b,27,3,false,2024-03-17T07:19:56.526852
a9e88be1-e689-469d-876a-5805d7bab771,27,4,true,2024-03-30T11:59:21.990650
ac6f4094-fd84-4db2-9efb-ff914e797735,28,1,true,2024-02-14T14:50:50.857321
26c3c9d7-94d2-4c0f-9ea0-39014fddeb28,28,2,true,2024-02-28T03:00:11.555980
55ff30ae-b9a0-470a-8698-b57bd57ae2bd,28,3,false,2024-03-17T14:41:21.341586
b65f919f-895e-47c6-9a82-e35cc3f61504,28,4,true,2024-03-31T16:30:36.368018
dac63efd-a8d2-4c9c-9333-967d21ecb093,29,1,true,2024-02-13T10:24:02.504574
8557fc38-60b8-496e-8841-0876138a26f1,29,2,true,2024-02-28T06:11:02.323752
8eb7ae13-e420-4772-a353-132955bc3779,29,3,false,2024-03-17T00:31:19.093676
9b1692ab-f7db-450c-8721-9bcbd4f2f35f,29,4,true,2024-03-31T14:13:21.852839
f15149eb-44bd-49f4-a960-e594c3a87834,30,1,true,2024-02-14T23:36:52.846743
3adcfe68-07e1-4133-b213-27b7b7a8ddab,30,2,true,2024-02-27T11:13:13.017932
e6da85a1-de79-417e-9ad8-6a482160db46,30,3,false,2024-03-14T13:24:24.212110
4d3199cc-ec2f-49c3-833b-95b90db471f7,30,4,false,2024-03-31T05:08:03.439310
b80f89bf-640d-4eb9-af1a-6f0820b955ee,31,1,true,2024-02-15T01:21:42.360771
c9658327-10a6-428a-be03-a54c87599a1d,31,2,false,2024-03-01T21:36:39.773151
